договор	ТУ	район	наименование	Сеть
1072	210720003	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ
1072	210720011	МЭС - район реализации 1	Допредъявление по акту	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ
1072	210720018	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-8" > ТП - 8 > РУ-0,4 кВ > ф. "Транспортная 5"
1072	210720019	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Комсомольская 1 каб. А"
1072	210720020	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Комсомольская 1 каб. А"
1072	210720021	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Комсомольская 1 каб. А"
1072	210720024	МЭС - район реализации 1	Гараж	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "Порт" > ТП - 87 > РУ-0,4 кВ
1072	210720029	МЭС - район реализации 1	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 109 > РУ-0,4 кВ
1072	210720031	МЭС - район реализации 1	Администравтиное помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-194 ввод Б" > ТП - 42 > РУ-0,4 кВ > ф. "Дзержинского 5" > Дзержинского 5
1072	210720032	МЭС - район реализации 1	Администравтиное помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-194 ввод Б" > ТП - 42 > РУ-0,4 кВ > ф. "Дзержинского 5" > Дзержинского 5
